id,car_make_id,title,deleted_at
862,82,Fusion (North America),
863,82,Galaxie,
864,82,Galaxy,
865,82,Granada (North America),
866,82,GT40,
867,82,Ikon,
868,82,Ixion,
869,82,Ka,
870,82,Kuga,
871,82,M151,
872,82,Mainline,
873,82,Maverick,
874,82,Model T,
875,82,Mondeo,
876,82,Mustang,
877,82,Probe,
878,82,Puma,
879,82,Ranger,
880,82,Ranger (North America),
881,82,S-Max,
882,82,Scorpio,
883,82,Shelby,
884,82,Sierra,
885,82,Street KA,
886,82,Taunus,
887,82,Taurus,
888,82,Taurus X,
889,82,Telstar,
890,82,Tempo,
891,82,Territory,
892,82,Thunderbird,
893,82,Torino,
894,82,Tourneo,
895,82,Tourneo Connect,
896,82,Tourneo Courier,
897,82,Tourneo Custom,
898,82,Transit Connect,
899,82,Windstar,
900,83,Gratour,
901,83,Sauvana,
902,83,Tunland,
903,84,125p,
904,84,Polonez,
905,85,6500 (Land King),
906,85,6500 Land King,
907,86,GN8,
908,86,Trumpchi GS8,
909,87,12 ZIM,
910,87,13 Chaika,
911,87,14 Chaika,
912,87,18,
913,87,21 Volga,
914,87,22 Volga,
915,87,2308 Ataman,
916,87,2330 Tigr,
917,87,24 Volga,
918,87,3102 Volga,
919,87,310221 Volga,
920,87,31029 Volga,
921,87,3103 Volga,
922,87,3105 Volga,
923,87,3110 Volga,
924,87,31105 Volga,
925,87,3111,
926,87,3111 Volga,
927,87,46,
928,87,61,
929,87,64,
930,87,67,
931,87,69,
932,87,A,
933,87,M-20 Pobeda,
934,87,M-72,
935,87,Siber,
936,87,Sobol,
937,87,Volga Siber,
938,88,Atlas,
939,88,Beauty Leopard,
940,88,CK (Otaka),
941,88,Coolray,
942,88,Emgrand 7,
943,88,Emgrand EC7,
944,88,Emgrand GT,
945,88,Emgrand X7,
946,88,FC (Vision),
947,88,GC6,
948,88,GC9,
949,88,GX7,
950,88,Haoqing,
951,88,LC (Panda),
952,88,LC (Panda) Cross,
953,88,MK,
954,88,MR,
955,88,Otaka,
956,88,SC7,
957,88,Tugella,
958,88,TX4,
959,89,G70,
960,89,G80,
961,89,G90,
